PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
757,Maya Caldwell,ATL,G,41,18.5,5.4,3.1,1.8,0.9,0.2,1.0,42.6,80.0,1.0,0.8,2.3,2.7,35.5,2.0,4.8,0.4,0.5
1006,JJ Quinerly,DAL,G,34,15.9,6.5,1.9,2.3,0.9,0.2,0.6,42.6,86.7,1.5,0.5,1.3,1.6,38.9,2.4,5.5,1.1,1.3
911,Caitlin Clark,IND,G,13,31.1,16.5,5.0,8.8,1.6,0.5,2.2,36.7,82.0,5.1,0.1,4.9,8.0,27.9,5.5,15.1,3.2,3.8
797,Rae Burrell,LAS,G,28,18.4,7.5,2.3,1.2,0.6,0.2,0.8,43.3,74.5,0.9,0.6,1.7,2.4,32.8,2.8,6.4,1.3,1.7
922,Jacy Sheldon,CON,G,28,24.1,7.5,1.9,2.0,1.0,0.2,1.3,47.0,90.0,1.1,0.8,1.2,3.0,41.2,2.8,6.0,0.6,0.7
678,DiJonai Carrington,DAL,G,20,24.9,10.4,5.1,1.8,1.1,0.5,0.7,35.4,82.5,2.5,2.1,3.0,2.5,26.0,3.7,10.5,2.4,2.9
468,Cecilia Zandalasini,GSV,F,19,23.7,10.5,2.9,1.7,0.9,0.2,1.9,44.7,87.5,1.3,0.3,2.7,4.8,40.7,3.5,7.9,1.5,1.7
658,Aari McDonald,IND,G,20,26.3,9.8,2.4,4.7,1.3,0.2,1.2,42.9,78.4,2.3,0.5,1.9,3.9,30.8,3.3,7.7,2.0,2.6
671,Kitija Laksa,PHO,G,33,19.0,5.9,1.2,0.6,0.4,0.2,1.2,36.7,81.3,0.6,0.3,0.9,3.6,31.7,2.0,5.5,0.8,1.0
745,Iliana Rupert,GSV,C,21,23.1,9.3,3.9,1.6,0.6,0.6,2.2,43.8,93.8,1.0,1.0,2.9,5.0,44.2,3.2,7.3,0.7,0.8
854,Haley Jones,DAL,G,24,22.8,8.1,3.8,2.5,0.8,0.9,0.5,46.0,62.9,1.9,0.7,3.1,1.5,29.7,3.4,7.3,0.9,1.5
661,Luisa Geiselsoder,DAL,C,28,22.4,6.9,4.8,1.6,0.8,0.7,1.1,42.5,81.8,1.0,0.9,3.9,3.4,33.0,2.7,6.4,0.3,0.4
488,Monique Billings,GSV,F,26,18.2,7.3,4.5,0.5,0.6,0.8,0.4,47.7,67.9,0.8,1.4,3.0,1.4,27.8,2.8,5.8,1.4,2.0
640,Julie Allemand,LAS,G,34,28.3,5.4,3.7,5.0,1.3,0.0,0.8,44.0,78.9,1.6,0.4,3.4,3.0,27.7,2.1,4.7,0.4,0.6
228,Damiris Dantas,IND,C,38,11.6,4.6,2.4,0.7,0.2,0.1,0.7,34.8,85.7,0.8,0.7,1.7,2.5,26.3,1.7,4.8,0.6,0.7
423,Nia Coffey,ATL,F,44,10.3,3.9,2.6,1.0,0.2,0.4,0.5,37.4,72.0,0.7,0.6,2.0,1.9,29.3,1.3,3.3,0.8,1.1
973,Alexa Held,PHO,G,32,14.7,5.3,1.1,1.1,0.7,0.2,0.9,37.8,81.8,0.9,0.3,0.7,2.8,30.8,1.9,5.1,0.6,0.7
999,Aaliyah Nye,LVA,G,44,15.3,3.8,1.5,0.5,0.3,0.2,0.8,34.5,82.4,0.6,0.3,1.2,2.7,31.4,1.3,3.9,0.3,0.4
416,Isabelle Harrison,NYL,F,34,10.6,4.9,2.6,0.7,0.6,0.1,0.1,48.5,76.7,0.7,0.9,1.8,0.4,26.7,1.9,3.9,1.0,1.3
238,Brittney Sykes,SEA,G,14,30.0,11.8,2.7,3.3,1.2,0.4,0.7,38.6,77.0,2.1,0.6,2.1,2.6,27.8,3.9,10.0,3.4,4.4
1000,Lucy Olsen,WAS,G,41,12.4,4.0,1.2,1.2,0.4,0.1,0.5,41.5,82.4,0.5,0.3,0.9,1.7,27.1,1.6,3.9,0.3,0.4
610,Li Yueru,DAL,C,22,20.0,7.4,5.8,1.0,0.4,0.4,0.8,42.1,84.2,1.0,2.2,3.6,2.3,35.3,2.5,6.0,1.5,1.7
249,Stefanie Dolson,WAS,C,43,15.2,3.7,2.3,1.4,0.3,0.3,0.6,42.3,70.0,0.7,0.4,1.9,1.7,36.0,1.4,3.3,0.3,0.5
735,Natasha Mack,PHO,F,34,18.3,4.7,5.8,0.9,0.9,1.5,0.0,57.3,47.2,0.4,2.3,3.5,0.1,0.0,2.1,3.6,0.5,1.1
859,Laeticia Amihere,GSV,F,29,13.3,5.4,4.3,0.9,0.6,0.4,0.1,45.6,77.8,1.1,1.2,3.1,0.7,14.3,1.8,3.9,1.7,2.2
258,Rebekah Gardner,NYL,G,41,12.2,3.7,1.8,0.6,0.6,0.2,0.5,50.0,81.5,0.6,0.7,1.1,1.0,47.6,1.3,2.7,0.5,0.7
573,Kalani Brown,PHO,C,29,12.8,5.1,4.0,0.6,0.2,0.6,0.1,61.5,77.1,0.8,1.2,2.8,0.3,37.5,2.0,3.3,0.9,1.2
495,Maria Kliundikova,MIN,C,34,11.0,4.4,3.0,0.6,0.7,0.8,0.2,50.0,57.1,0.7,1.3,1.7,0.7,32.0,1.9,3.8,0.4,0.6
793,Emily Engstler,WAS,F,40,12.8,3.7,3.3,1.5,0.7,0.7,0.4,39.6,66.7,1.0,0.9,2.3,1.6,25.4,1.3,3.4,0.6,0.9
792,Kierstan Bell,LVA,F,35,12.2,4.2,1.8,0.7,0.4,0.3,0.9,33.8,80.0,0.5,0.6,1.2,2.9,29.1,1.5,4.4,0.3,0.4
663,Kaila Charles,GSV,G,18,19.3,7.4,4.5,0.9,1.1,0.2,0.8,46.3,81.8,1.2,1.2,3.3,2.3,35.7,2.8,6.0,1.0,1.2
914,Aaliyah Edwards,WAS,F,21,13.3,6.0,3.3,0.4,0.5,0.3,0.0,47.9,62.5,1.1,1.2,2.1,0.3,0.0,2.1,4.5,1.7,2.7
330,Odyssey Sims,IND,G,12,26.4,10.3,1.8,4.0,0.6,0.0,0.8,41.2,81.0,1.3,0.3,1.5,2.5,30.0,4.1,9.9,1.4,1.8
785,NaLyssa Smith,DAL,F,18,19.1,6.7,4.9,0.8,0.4,0.9,0.1,42.5,61.7,0.9,1.6,3.3,0.6,18.2,2.5,5.9,1.6,2.6
