PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
610,Li Yueru,SEA,C,9,8.7,2.8,1.6,0.7,0.1,0.0,0.2,30.0,91.7,0.8,0.4,1.1,0.4,50.0,0.7,2.2,1.2,1.3
647,Tyasha Harris,DAL,G,5,16.4,4.6,1.0,2.6,0.4,0.4,1.0,44.4,100.0,0.6,0.2,0.8,2.2,45.5,1.6,3.6,0.4,0.4
788,Sika Kone,WAS,F,11,6.7,2.1,1.6,0.5,0.0,0.0,0.1,38.9,88.9,0.5,0.3,1.4,0.3,33.3,0.6,1.6,0.7,0.8
947,Jaylyn Sherrod,NYL,G,18,5.8,1.2,0.6,0.6,0.6,0.0,0.2,30.0,77.8,0.6,0.1,0.5,0.6,27.3,0.3,1.1,0.4,0.5
989,Sania Feagin,LAS,F,16,4.8,1.3,0.7,0.3,0.0,0.4,0.0,35.7,0.0,0.4,0.2,0.5,0.3,0.0,0.6,1.8,0.0,0.1
795,Christyn Williams,DAL,G,4,11.3,4.3,1.0,0.8,0.0,0.0,0.3,37.5,66.7,0.3,0.5,0.5,1.0,25.0,1.5,4.0,1.0,1.5
923,Alissa Pili,LAS,F,5,3.4,3.2,0.4,0.0,0.0,0.2,0.0,50.0,90.9,0.2,0.0,0.4,0.2,0.0,0.6,1.2,2.0,2.2
252,Cheyenne Parker-Tyus,LVA,F,2,7.0,8.0,1.0,0.0,0.0,0.0,0.5,62.5,83.3,0.5,0.0,1.0,1.0,50.0,2.5,4.0,2.5,3.0
921,Elizabeth Kitley,LVA,C,12,8.2,1.3,1.4,0.1,0.3,0.5,0.0,30.4,50.0,0.6,0.3,1.1,0.1,0.0,0.6,1.9,0.1,0.2
1008,Madison Scott,WAS,F,9,5.2,1.6,0.1,0.2,0.2,0.0,0.0,45.5,100.0,0.1,0.1,0.0,0.1,0.0,0.6,1.2,0.4,0.4
922,Jacy Sheldon,WAS,G,2,16.0,6.5,1.5,0.5,0.0,0.0,0.5,40.0,80.0,0.5,0.5,1.0,3.0,16.7,2.0,5.0,2.0,2.5
910,Sevgi Uzun,PHO,G,7,14.6,1.6,0.9,2.0,0.6,0.4,0.1,21.4,66.7,1.4,0.0,0.9,1.1,12.5,0.4,2.0,0.6,0.9
917,Mackenzie Holmes,SEA,F,10,5.8,1.0,0.9,0.2,0.5,0.1,0.0,71.4,0.0,0.0,0.3,0.6,0.0,0.0,0.5,0.7,0.0,0.0
854,Haley Jones,PHO,G,4,12.0,2.3,2.0,1.0,0.3,0.3,0.3,33.3,0.0,0.5,0.5,1.5,0.5,50.0,1.0,3.0,0.0,0.0
920,Marquesha Davis,NYL,G,9,3.4,0.9,0.6,0.1,0.0,0.1,0.0,25.0,85.7,0.3,0.1,0.4,0.3,0.0,0.1,0.4,0.7,0.8
947,Jaylyn Sherrod,MIN,G,8,4.8,1.0,0.5,0.3,0.1,0.0,0.0,37.5,50.0,0.1,0.0,0.5,0.3,0.0,0.4,1.0,0.3,0.5
653,Joyner Holmes,LVA,F,6,4.8,1.2,1.0,0.0,0.0,0.0,0.2,25.0,0.0,0.3,0.3,0.7,0.8,20.0,0.5,2.0,0.0,0.0
421,Moriah Jefferson,CHI,G,5,7.0,1.4,1.0,1.8,0.0,0.0,0.2,37.5,0.0,0.4,0.0,1.0,0.6,33.3,0.6,1.6,0.0,0.0
1012,Taylor Thierry,ATL,F,17,2.1,0.4,0.4,0.1,0.2,0.0,0.1,18.2,25.0,0.1,0.1,0.2,0.2,33.3,0.1,0.6,0.1,0.2
788,Sika Kone,ATL,F,8,1.4,0.5,0.1,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1,0.3,0.0,0.0,0.5,0.5,0.5
970,Kyara Linskens,GSV,C,5,5.4,0.8,1.2,0.2,0.2,0.6,0.0,40.0,0.0,0.4,0.2,1.0,0.2,0.0,0.4,1.0,0.0,0.0
612,Crystal Bradford,LVA,F,4,6.0,1.0,1.3,0.3,0.5,0.0,0.0,33.3,0.0,0.3,0.5,0.8,0.5,0.0,0.5,1.5,0.0,0.0
964,Camryn Taylor,MIN,F,6,3.8,0.5,1.0,0.2,0.0,0.0,0.2,14.3,0.0,0.5,0.3,0.7,0.5,33.3,0.2,1.2,0.0,0.3
997,Megan McConnell,PHO,G,1,13.0,3.0,1.0,3.0,1.0,0.0,1.0,25.0,0.0,0.0,1.0,0.0,2.0,50.0,1.0,4.0,0.0,0.0
987,Bree Hall,GSV,G,3,4.0,1.0,0.7,0.0,0.0,0.0,0.0,33.3,33.3,1.0,0.0,0.7,0.7,0.0,0.3,1.0,0.3,1.0
920,Marquesha Davis,CHI,G,2,10.5,1.0,1.0,0.0,0.0,0.5,0.0,16.7,0.0,1.5,1.0,0.0,0.5,0.0,0.5,3.0,0.0,0.0
1018,Liatu King,DAL,F,2,8.0,1.0,2.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.5,0.0,0.0
845,Robyn Parks,CON,F,6,10.5,0.3,1.5,0.3,0.3,0.0,0.0,20.0,0.0,0.2,0.2,1.3,0.7,0.0,0.2,0.8,0.0,0.0
293,Aerial Powers,GSV,G,2,3.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,100.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
400,Alexis Prince,PHO,F,1,22.0,2.0,8.0,1.0,0.0,0.0,0.0,33.3,0.0,3.0,0.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0
780,Yvonne Anderson,MIN,G,1,12.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
861,Grace Berger,LAS,G,1,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
713,Kamiah Smalls,ATL,G,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,Kyra Lambert,IND,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,Ajae Petty,DAL,F,2,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1011,Serena Sundell,DAL,G,3,7.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0
987,Bree Hall,IND,G,1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
968,Marieme Badiane,MIN,F,3,3.7,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0
